score,company_jp,company_en
65,三菱UFJニコス,Mitsubishi UFJ Nicos
65,熊谷組,Kumagai Gumi
65,鉄建建設,Tekken Corporation
64,ゆうちょ銀行(総合職),Japan Post Bank (General)
64,あいおいニッセイ同和,Aioi Nissay Dowa Insurance
64,スズキ,Suzuki
64,日産車体,Nissan Shatai
64,アイシン,AISIN
64,日本特殊陶業↑,NGK Spark Plug↑
64,住友ゴム工業,Sumitomo Rubber Industries
64,横浜ゴム,Yokohama Rubber
64,GSユアサ,GS Yuasa
64,東邦ガス,Toho Gas
64,雪印メグミルク,Megmilk Snow Brand
64,ハウス食品,House Foods
64,伊藤ハム,Itoham
64,ニップン,NIPPN
64,ニッスイ,Nissui
64,マルハニチロ,Maruha Nichiro
64,コニカミノルタ,Konica Minolta
64,日清オイリオ,Nisshin OilliO
64,不二製油,Fuji Oil
64,日油,NOF Corporation
64,東芝テック,Toshiba TEC
64,沖電気工業,OKI
64,日本電子,JEOL
64,フジクラ,Fujikura
64,イビデン,Ibiden
64,ルネサスエレクトロニクス↓,Renesas Electronics↓
64,MARUWA,MARUWA
64,野村マイクロサイエンス,Nomura Micro Science
64,日本コムシス,Nippon Comsys
64,ヤンマー,Yanmar
64,日本曹達,Nippon Soda
64,ライオン,Lion
64,富士石油,Fuji Oil Company
64,古河機械金属↓,Furukawa Co.↓
64,日本ゼオン,Zeon Corporation
64,ADEKA,ADEKA
64,明治海運,Meiji Shipping
64,三井倉庫↑,Mitsui-Soko↑
64,ウシオ電機,Ushio Inc.
64,明電舎,Meidensha
64,DOWA,DOWA
64,日本原電,JAPC
64,東急建設,Tokyu Construction
64,日本酸素,Nippon Sanso
64,高砂香料工業,Takasago International
64,楽天,Rakuten
64,日立システムズ,Hitachi Systems
64,安藤ハザマ,Ando Hazama
64,三菱食品,Mitsubishi Shokuhin
64,加賀電子↓,Kaga Electronics↓
64,川崎近海汽船,Kawasaki Kinkai Kisen
64,ロジスティード↑,LOGISTEED↑
63,かんぽ生命保険,Japan Post Insurance
63,労働金庫連合会,The Rokinren Bank
63,LIXIL,LIXIL
63,沖縄電力↑,Okinawa Electric Power↑
63,日本精工↑,NSK↑
63,日本発条↑,NHK Spring↑
63,カナデビア,Kanadevia
63,シチズン時計,Citizen Watch
63,ブラザー工業↓,Brother Industries↓
63,牧野フライス,Makino
63,ジェイテクト,JTEKT
63,日本製鋼所,The Japan Steel Works
63,ナブテスコ↓,Nabtesco↓
63,アンリツ↓,Anritsu↓
63,加藤産業↑,Kato Sangyo↑
63,日本電気硝子,Nippon Electric Glass
63,DM三井製糖,DM Mitsui Sugar
63,浜松ホトニクス,Hamamatsu Photonics
63,ホシザキ,Hoshizaki
63,ニッポン高度紙工業,Nippon Kodoshi
